Participant,Experimental_Group,recruitment_platform,Effects_Perception
6,Not Disclosed,Prolific,3.333333333
6,Not Disclosed,Prolific,4.666666667
6,Not Disclosed,Prolific,1.333333333
6,Not Disclosed,Prolific,3.666666667
6,Not Disclosed,Prolific,1.333333333
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
7,Not Disclosed,Prolific,5
8,Disclosed,Prolific,5
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,5
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,3.666666667
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,3.333333333
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,4
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,2
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,3
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,5
8,Disclosed,Prolific,5
8,Disclosed,Prolific,5
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,4.666666667
8,Disclosed,Prolific,3.666666667
8,Disclosed,Prolific,5
8,Disclosed,Prolific,4.333333333
8,Disclosed,Prolific,5
8,Disclosed,Prolific,5
8,Disclosed,Prolific,3.666666667
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,4.333333333
9,Disclosed,Prolific,2.333333333
9,Disclosed,Prolific,5
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,4.333333333
9,Disclosed,Prolific,2.333333333
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,4
9,Disclosed,Prolific,4.333333333
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,4.333333333
9,Disclosed,Prolific,4
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,4.666666667
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,5
9,Disclosed,Prolific,3.333333333
