Participant,Experimental_Group,recruitment_platform,Effects_Perception
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,2.666666667
26,Not Disclosed,Prolific,5
26,Not Disclosed,Prolific,4
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,4
27,Not Disclosed,Prolific,3.666666667
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,4.333333333
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,3.666666667
27,Not Disclosed,Prolific,4.333333333
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,3.666666667
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,3.333333333
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4.333333333
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,4.333333333
27,Not Disclosed,Prolific,4.666666667
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4.333333333
27,Not Disclosed,Prolific,5
27,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,3
28,Not Disclosed,Prolific,2.666666667
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,4
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,2.666666667
28,Not Disclosed,Prolific,3.666666667
28,Not Disclosed,Prolific,4.333333333
28,Not Disclosed,Prolific,4.333333333
28,Not Disclosed,Prolific,3.666666667
28,Not Disclosed,Prolific,4.333333333
28,Not Disclosed,Prolific,3
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,4.333333333
28,Not Disclosed,Prolific,4
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,3.333333333
28,Not Disclosed,Prolific,4.666666667
28,Not Disclosed,Prolific,3.333333333
28,Not Disclosed,Prolific,4
28,Not Disclosed,Prolific,3.333333333
28,Not Disclosed,Prolific,5
28,Not Disclosed,Prolific,3.333333333
29,Disclosed,Prolific,4
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,2.666666667
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,4
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,5
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,3.333333333
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,1.666666667
29,Disclosed,Prolific,2.666666667
29,Disclosed,Prolific,2.333333333
29,Disclosed,Prolific,3.333333333
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,5
29,Disclosed,Prolific,5
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,4
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,5
29,Disclosed,Prolific,4.666666667
29,Disclosed,Prolific,4.333333333
29,Disclosed,Prolific,5
29,Disclosed,Prolific,5
29,Disclosed,Prolific,4.666666667
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,3.666666667
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,4.666666667
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,4.333333333
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,4.666666667
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,5
30,Not Disclosed,Prolific,4.333333333
30,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,4.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,2.666666667
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.333333333
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,4
31,Not Disclosed,Prolific,3.666666667
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,4.333333333
31,Not Disclosed,Prolific,3.333333333
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
32,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,4.666666667
33,Not Disclosed,Prolific,3.333333333
33,Not Disclosed,Prolific,2.666666667
33,Not Disclosed,Prolific,4.666666667
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,3.333333333
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,3.333333333
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,3.666666667
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,4.666666667
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,4.333333333
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,2.333333333
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,5
33,Not Disclosed,Prolific,3
33,Not Disclosed,Prolific,4
33,Not Disclosed,Prolific,4
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,4.666666667
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,4.666666667
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
34,Disclosed,Prolific,4.666666667
34,Disclosed,Prolific,5
34,Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,4
35,Not Disclosed,Prolific,4.333333333
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,2.333333333
35,Not Disclosed,Prolific,3.666666667
35,Not Disclosed,Prolific,4.333333333
35,Not Disclosed,Prolific,4.666666667
35,Not Disclosed,Prolific,1
35,Not Disclosed,Prolific,3.666666667
35,Not Disclosed,Prolific,1
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,4.666666667
35,Not Disclosed,Prolific,4.666666667
35,Not Disclosed,Prolific,2.333333333
35,Not Disclosed,Prolific,2
35,Not Disclosed,Prolific,4
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,4.333333333
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,3.333333333
35,Not Disclosed,Prolific,5
35,Not Disclosed,Prolific,1.666666667
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,2.666666667
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,5
36,Not Disclosed,Prolific,2
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,2.333333333
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,3
36,Not Disclosed,Prolific,4.333333333
36,Not Disclosed,Prolific,2.666666667
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,3.333333333
36,Not Disclosed,Prolific,4
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,2.666666667
36,Not Disclosed,Prolific,2.666666667
36,Not Disclosed,Prolific,3.666666667
36,Not Disclosed,Prolific,3.333333333
37,Disclosed,Prolific,4.666666667
37,Disclosed,Prolific,3.333333333
37,Disclosed,Prolific,2.666666667
37,Disclosed,Prolific,4
37,Disclosed,Prolific,4
37,Disclosed,Prolific,4
37,Disclosed,Prolific,5
37,Disclosed,Prolific,4.333333333
37,Disclosed,Prolific,4.333333333
37,Disclosed,Prolific,2.666666667
37,Disclosed,Prolific,4
37,Disclosed,Prolific,2.333333333
37,Disclosed,Prolific,3
37,Disclosed,Prolific,2.333333333
37,Disclosed,Prolific,4.333333333
37,Disclosed,Prolific,2
37,Disclosed,Prolific,3.666666667
37,Disclosed,Prolific,2
37,Disclosed,Prolific,4.333333333
37,Disclosed,Prolific,3
37,Disclosed,Prolific,3.666666667
37,Disclosed,Prolific,4
37,Disclosed,Prolific,2.333333333
37,Disclosed,Prolific,2
37,Disclosed,Prolific,4
37,Disclosed,Prolific,3.666666667
37,Disclosed,Prolific,4.666666667
37,Disclosed,Prolific,2.666666667
37,Disclosed,Prolific,4.333333333
37,Disclosed,Prolific,3.333333333
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,2
38,Disclosed,Prolific,2
38,Disclosed,Prolific,4.333333333
38,Disclosed,Prolific,4.333333333
38,Disclosed,Prolific,4.333333333
38,Disclosed,Prolific,4
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,5
38,Disclosed,Prolific,4
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,3
38,Disclosed,Prolific,2.666666667
38,Disclosed,Prolific,2.333333333
38,Disclosed,Prolific,3.666666667
38,Disclosed,Prolific,3.333333333
38,Disclosed,Prolific,3.666666667
38,Disclosed,Prolific,2.666666667
38,Disclosed,Prolific,3.666666667
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,4
38,Disclosed,Prolific,4
38,Disclosed,Prolific,2.666666667
38,Disclosed,Prolific,2.666666667
38,Disclosed,Prolific,4
38,Disclosed,Prolific,4
38,Disclosed,Prolific,2.666666667
38,Disclosed,Prolific,4.666666667
38,Disclosed,Prolific,2.666666667
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,3.666666667
39,Disclosed,Prolific,3.333333333
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4.666666667
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4
39,Disclosed,Prolific,4.666666667
39,Disclosed,Prolific,2.333333333
39,Disclosed,Prolific,3.333333333
39,Disclosed,Prolific,4
39,Disclosed,Prolific,4
39,Disclosed,Prolific,4
39,Disclosed,Prolific,5
39,Disclosed,Prolific,2.333333333
39,Disclosed,Prolific,4.666666667
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4.666666667
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,4
39,Disclosed,Prolific,3.666666667
39,Disclosed,Prolific,5
39,Disclosed,Prolific,4
39,Disclosed,Prolific,4.333333333
39,Disclosed,Prolific,1.666666667
39,Disclosed,Prolific,4.666666667
39,Disclosed,Prolific,4
40,Disclosed,Prolific,2.666666667
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4
40,Disclosed,Prolific,3.666666667
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,4
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4
40,Disclosed,Prolific,3.333333333
40,Disclosed,Prolific,4
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,4
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,3.666666667
40,Disclosed,Prolific,3.666666667
40,Disclosed,Prolific,4.666666667
40,Disclosed,Prolific,4
40,Disclosed,Prolific,4
40,Disclosed,Prolific,3.666666667
40,Disclosed,Prolific,2.666666667
40,Disclosed,Prolific,2.333333333
40,Disclosed,Prolific,4.333333333
40,Disclosed,Prolific,4.666666667
41,Disclosed,Prolific,4
41,Disclosed,Prolific,3.666666667
41,Disclosed,Prolific,4
41,Disclosed,Prolific,3
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,3.333333333
41,Disclosed,Prolific,5
41,Disclosed,Prolific,4
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,4.666666667
41,Disclosed,Prolific,2.666666667
41,Disclosed,Prolific,2
41,Disclosed,Prolific,4
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,2.666666667
41,Disclosed,Prolific,2.333333333
41,Disclosed,Prolific,2.666666667
41,Disclosed,Prolific,3.666666667
41,Disclosed,Prolific,4
41,Disclosed,Prolific,3.333333333
41,Disclosed,Prolific,1.666666667
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,3
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,4.333333333
41,Disclosed,Prolific,3.666666667
41,Disclosed,Prolific,5
41,Disclosed,Prolific,3.333333333
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
42,Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4.333333333
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4.666666667
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4.666666667
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4.333333333
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4
43,Not Disclosed,Prolific,5
43,Not Disclosed,Prolific,4.333333333
44,Disclosed,Prolific,4.333333333
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,5
44,Disclosed,Prolific,4.666666667
44,Disclosed,Prolific,5
45,Disclosed,Prolific,4.666666667
45,Disclosed,Prolific,4
45,Disclosed,Prolific,3.333333333
45,Disclosed,Prolific,5
45,Disclosed,Prolific,5
45,Disclosed,Prolific,5
45,Disclosed,Prolific,5
45,Disclosed,Prolific,4.333333333
45,Disclosed,Prolific,5
45,Disclosed,Prolific,5
45,Disclosed,Prolific,5
45,Disclosed,Prolific,3.666666667
45,Disclosed,Prolific,4
45,Disclosed,Prolific,4.333333333
45,Disclosed,Prolific,4.333333333
45,Disclosed,Prolific,3.333333333
45,Disclosed,Prolific,4.666666667
45,Disclosed,Prolific,2
45,Disclosed,Prolific,5
45,Disclosed,Prolific,4.666666667
45,Disclosed,Prolific,5
45,Disclosed,Prolific,2
45,Disclosed,Prolific,5
45,Disclosed,Prolific,3.666666667
45,Disclosed,Prolific,5
45,Disclosed,Prolific,3.666666667
45,Disclosed,Prolific,4.666666667
45,Disclosed,Prolific,3.333333333
45,Disclosed,Prolific,5
45,Disclosed,Prolific,3.666666667
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,3.666666667
46,Disclosed,Prolific,3
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,3.666666667
46,Disclosed,Prolific,3.666666667
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,5
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,5
46,Disclosed,Prolific,3
46,Disclosed,Prolific,3.333333333
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,4
46,Disclosed,Prolific,4
46,Disclosed,Prolific,3.666666667
46,Disclosed,Prolific,3.333333333
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,5
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,4.333333333
46,Disclosed,Prolific,5
46,Disclosed,Prolific,5
46,Disclosed,Prolific,5
46,Disclosed,Prolific,4.666666667
46,Disclosed,Prolific,5
46,Disclosed,Prolific,4
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,4
47,Disclosed,Prolific,4
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,4
47,Disclosed,Prolific,4
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.666666667
47,Disclosed,Prolific,3.333333333
47,Disclosed,Prolific,3.666666667
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,5
48,Disclosed,Prolific,4
48,Disclosed,Prolific,3.666666667
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,3
48,Disclosed,Prolific,4
48,Disclosed,Prolific,3.333333333
48,Disclosed,Prolific,4
48,Disclosed,Prolific,2.666666667
48,Disclosed,Prolific,3.666666667
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,3.333333333
48,Disclosed,Prolific,4.333333333
48,Disclosed,Prolific,3
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,4
48,Disclosed,Prolific,5
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,5
48,Disclosed,Prolific,4
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,5
48,Disclosed,Prolific,4
48,Disclosed,Prolific,4.666666667
48,Disclosed,Prolific,4
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,4
49,Disclosed,Prolific,2.666666667
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,5
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,5
49,Disclosed,Prolific,5
49,Disclosed,Prolific,1.666666667
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,5
49,Disclosed,Prolific,3.666666667
49,Disclosed,Prolific,4.666666667
49,Disclosed,Prolific,3.333333333
49,Disclosed,Prolific,5
49,Disclosed,Prolific,5
49,Disclosed,Prolific,5
49,Disclosed,Prolific,3.666666667
49,Disclosed,Prolific,4
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,3.666666667
49,Disclosed,Prolific,4.333333333
49,Disclosed,Prolific,2.666666667
49,Disclosed,Prolific,5
49,Disclosed,Prolific,4.666666667
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,2.666666667
50,Not Disclosed,Prolific,4
50,Not Disclosed,Prolific,4
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,4
50,Not Disclosed,Prolific,3.333333333
50,Not Disclosed,Prolific,3.666666667
50,Not Disclosed,Prolific,3.666666667
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,1.333333333
50,Not Disclosed,Prolific,1.666666667
50,Not Disclosed,Prolific,2
50,Not Disclosed,Prolific,3.333333333
50,Not Disclosed,Prolific,2
50,Not Disclosed,Prolific,2.666666667
50,Not Disclosed,Prolific,1.333333333
50,Not Disclosed,Prolific,3.333333333
50,Not Disclosed,Prolific,3.333333333
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,1.333333333
50,Not Disclosed,Prolific,2
50,Not Disclosed,Prolific,3.333333333
50,Not Disclosed,Prolific,3
50,Not Disclosed,Prolific,4
50,Not Disclosed,Prolific,4
50,Not Disclosed,Prolific,2.333333333
50,Not Disclosed,Prolific,2
50,Not Disclosed,Prolific,2
51,Disclosed,Prolific,3.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4
51,Disclosed,Prolific,3.666666667
51,Disclosed,Prolific,4
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,5
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,5
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.333333333
51,Disclosed,Prolific,4.666666667
51,Disclosed,Prolific,4.666666667
52,Not Disclosed,Prolific,4.666666667
52,Not Disclosed,Prolific,4.666666667
52,Not Disclosed,Prolific,4.666666667
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,4
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,3
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,4
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,4.666666667
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,5
52,Not Disclosed,Prolific,4.666666667
