"Participant","Experimental_Group","recruitment_platform","Messages","Effects_Perception","AI_or_Hum"
3,"Not Disclosed","Prolific","AI3_EP",2.66666666666667,"AI"
3,"Not Disclosed","Prolific","AI4_EP",2,"AI"
3,"Not Disclosed","Prolific","AI5_EP",2,"AI"
3,"Not Disclosed","Prolific","AI6_EP",2,"AI"
3,"Not Disclosed","Prolific","AI7_EP",2.33333333333333,"AI"
3,"Not Disclosed","Prolific","AI8_EP",2,"AI"
3,"Not Disclosed","Prolific","AI9_EP",1.66666666666667,"AI"
3,"Not Disclosed","Prolific","AI10_EP",2,"AI"
3,"Not Disclosed","Prolific","AI11_EP",2,"AI"
3,"Not Disclosed","Prolific","AI12_EP",2.66666666666667,"AI"
3,"Not Disclosed","Prolific","AI13_EP",2,"AI"
3,"Not Disclosed","Prolific","AI14_EP",2.66666666666667,"AI"
3,"Not Disclosed","Prolific","AI15_EP",2,"AI"
3,"Not Disclosed","Prolific","Human1_EP",1.33333333333333,"Human"
3,"Not Disclosed","Prolific","Human2_EP",1.33333333333333,"Human"
3,"Not Disclosed","Prolific","Human3_EP",2.66666666666667,"Human"
3,"Not Disclosed","Prolific","Human4_EP",2,"Human"
3,"Not Disclosed","Prolific","Human5_EP",3,"Human"
3,"Not Disclosed","Prolific","Human6_EP",2,"Human"
3,"Not Disclosed","Prolific","Human7_EP",1,"Human"
3,"Not Disclosed","Prolific","Human8_EP",1.66666666666667,"Human"
3,"Not Disclosed","Prolific","Human9_EP",2,"Human"
3,"Not Disclosed","Prolific","Human10_EP",1,"Human"
3,"Not Disclosed","Prolific","Human11_EP",1.66666666666667,"Human"
3,"Not Disclosed","Prolific","Human12_EP",1.66666666666667,"Human"
3,"Not Disclosed","Prolific","Human13_EP",1.66666666666667,"Human"
3,"Not Disclosed","Prolific","Human14_EP",1,"Human"
3,"Not Disclosed","Prolific","Human15_EP",2,"Human"
4,"Disclosed","Prolific","AI1_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI2_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI3_EP",5,"AI"
4,"Disclosed","Prolific","AI4_EP",4.66666666666667,"AI"
4,"Disclosed","Prolific","AI5_EP",4,"AI"
4,"Disclosed","Prolific","AI6_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI7_EP",4.66666666666667,"AI"
4,"Disclosed","Prolific","AI8_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI9_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI10_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI11_EP",4,"AI"
4,"Disclosed","Prolific","AI12_EP",4.66666666666667,"AI"
4,"Disclosed","Prolific","AI13_EP",4.66666666666667,"AI"
4,"Disclosed","Prolific","AI14_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","AI15_EP",4.33333333333333,"AI"
4,"Disclosed","Prolific","Human1_EP",4.66666666666667,"Human"
4,"Disclosed","Prolific","Human2_EP",4.66666666666667,"Human"
4,"Disclosed","Prolific","Human3_EP",4.66666666666667,"Human"
4,"Disclosed","Prolific","Human4_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human5_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human6_EP",4,"Human"
4,"Disclosed","Prolific","Human7_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human8_EP",4.66666666666667,"Human"
4,"Disclosed","Prolific","Human9_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human10_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human11_EP",4,"Human"
4,"Disclosed","Prolific","Human12_EP",5,"Human"
4,"Disclosed","Prolific","Human13_EP",4.33333333333333,"Human"
4,"Disclosed","Prolific","Human14_EP",5,"Human"
4,"Disclosed","Prolific","Human15_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","AI1_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI2_EP",4.33333333333333,"AI"
5,"Disclosed","Prolific","AI3_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI4_EP",5,"AI"
5,"Disclosed","Prolific","AI5_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI6_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI7_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI8_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI9_EP",4.66666666666667,"AI"
5,"Disclosed","Prolific","AI10_EP",4,"AI"
5,"Disclosed","Prolific","AI11_EP",5,"AI"
5,"Disclosed","Prolific","AI12_EP",2.33333333333333,"AI"
5,"Disclosed","Prolific","AI13_EP",5,"AI"
5,"Disclosed","Prolific","AI14_EP",5,"AI"
5,"Disclosed","Prolific","AI15_EP",5,"AI"
5,"Disclosed","Prolific","Human1_EP",4,"Human"
5,"Disclosed","Prolific","Human2_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","Human3_EP",3.33333333333333,"Human"
5,"Disclosed","Prolific","Human4_EP",4.66666666666667,"Human"
5,"Disclosed","Prolific","Human5_EP",5,"Human"
5,"Disclosed","Prolific","Human6_EP",4.66666666666667,"Human"
5,"Disclosed","Prolific","Human7_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","Human8_EP",5,"Human"
5,"Disclosed","Prolific","Human9_EP",3.66666666666667,"Human"
5,"Disclosed","Prolific","Human10_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","Human11_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","Human12_EP",4.33333333333333,"Human"
5,"Disclosed","Prolific","Human13_EP",4.66666666666667,"Human"
5,"Disclosed","Prolific","Human14_EP",4.66666666666667,"Human"
5,"Disclosed","Prolific","Human15_EP",5,"Human"
6,"Not Disclosed","Prolific","AI1_EP",4.66666666666667,"AI"
6,"Not Disclosed","Prolific","AI2_EP",2.33333333333333,"AI"
6,"Not Disclosed","Prolific","AI3_EP",2,"AI"
6,"Not Disclosed","Prolific","AI4_EP",5,"AI"
6,"Not Disclosed","Prolific","AI5_EP",4,"AI"
6,"Not Disclosed","Prolific","AI6_EP",4,"AI"
6,"Not Disclosed","Prolific","AI7_EP",5,"AI"
6,"Not Disclosed","Prolific","AI8_EP",4.33333333333333,"AI"
6,"Not Disclosed","Prolific","AI9_EP",4.33333333333333,"AI"
6,"Not Disclosed","Prolific","AI10_EP",3.66666666666667,"AI"
6,"Not Disclosed","Prolific","AI11_EP",5,"AI"
6,"Not Disclosed","Prolific","AI12_EP",2.33333333333333,"AI"
6,"Not Disclosed","Prolific","AI13_EP",1.66666666666667,"AI"
6,"Not Disclosed","Prolific","AI14_EP",4.66666666666667,"AI"
6,"Not Disclosed","Prolific","AI15_EP",3.33333333333333,"AI"
6,"Not Disclosed","Prolific","Human1_EP",1.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human2_EP",3.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human3_EP",2,"Human"
6,"Not Disclosed","Prolific","Human4_EP",4.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human5_EP",2.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human6_EP",3.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human7_EP",4.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human8_EP",4.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human9_EP",2.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human10_EP",5,"Human"
6,"Not Disclosed","Prolific","Human11_EP",3.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human12_EP",4.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human13_EP",1.33333333333333,"Human"
6,"Not Disclosed","Prolific","Human14_EP",3.66666666666667,"Human"
6,"Not Disclosed","Prolific","Human15_EP",1.33333333333333,"Human"
7,"Not Disclosed","Prolific","AI1_EP",5,"AI"
7,"Not Disclosed","Prolific","AI2_EP",5,"AI"
7,"Not Disclosed","Prolific","AI3_EP",5,"AI"
7,"Not Disclosed","Prolific","AI4_EP",5,"AI"
7,"Not Disclosed","Prolific","AI5_EP",5,"AI"
7,"Not Disclosed","Prolific","AI6_EP",5,"AI"
7,"Not Disclosed","Prolific","AI7_EP",5,"AI"
7,"Not Disclosed","Prolific","AI8_EP",5,"AI"
7,"Not Disclosed","Prolific","AI9_EP",5,"AI"
7,"Not Disclosed","Prolific","AI10_EP",5,"AI"
7,"Not Disclosed","Prolific","AI11_EP",5,"AI"
7,"Not Disclosed","Prolific","AI12_EP",5,"AI"
7,"Not Disclosed","Prolific","AI13_EP",5,"AI"
7,"Not Disclosed","Prolific","AI14_EP",5,"AI"
7,"Not Disclosed","Prolific","AI15_EP",5,"AI"
7,"Not Disclosed","Prolific","Human1_EP",5,"Human"
7,"Not Disclosed","Prolific","Human2_EP",5,"Human"
7,"Not Disclosed","Prolific","Human3_EP",5,"Human"
7,"Not Disclosed","Prolific","Human4_EP",5,"Human"
7,"Not Disclosed","Prolific","Human5_EP",5,"Human"
7,"Not Disclosed","Prolific","Human6_EP",5,"Human"
7,"Not Disclosed","Prolific","Human7_EP",5,"Human"
7,"Not Disclosed","Prolific","Human8_EP",5,"Human"
7,"Not Disclosed","Prolific","Human9_EP",5,"Human"
7,"Not Disclosed","Prolific","Human10_EP",5,"Human"
7,"Not Disclosed","Prolific","Human11_EP",5,"Human"
7,"Not Disclosed","Prolific","Human12_EP",5,"Human"
7,"Not Disclosed","Prolific","Human13_EP",5,"Human"
7,"Not Disclosed","Prolific","Human14_EP",5,"Human"
7,"Not Disclosed","Prolific","Human15_EP",5,"Human"
8,"Disclosed","Prolific","AI1_EP",5,"AI"
8,"Disclosed","Prolific","AI2_EP",4.66666666666667,"AI"
8,"Disclosed","Prolific","AI3_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","AI4_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","AI5_EP",4.66666666666667,"AI"
8,"Disclosed","Prolific","AI6_EP",5,"AI"
8,"Disclosed","Prolific","AI7_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","AI8_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","AI9_EP",4.66666666666667,"AI"
8,"Disclosed","Prolific","AI10_EP",3.66666666666667,"AI"
8,"Disclosed","Prolific","AI11_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","AI12_EP",3.33333333333333,"AI"
8,"Disclosed","Prolific","AI13_EP",4.66666666666667,"AI"
8,"Disclosed","Prolific","AI14_EP",4,"AI"
8,"Disclosed","Prolific","AI15_EP",4.33333333333333,"AI"
8,"Disclosed","Prolific","Human1_EP",2,"Human"
8,"Disclosed","Prolific","Human2_EP",4.33333333333333,"Human"
8,"Disclosed","Prolific","Human3_EP",3,"Human"
8,"Disclosed","Prolific","Human4_EP",4.33333333333333,"Human"
8,"Disclosed","Prolific","Human5_EP",5,"Human"
8,"Disclosed","Prolific","Human6_EP",5,"Human"
8,"Disclosed","Prolific","Human7_EP",5,"Human"
8,"Disclosed","Prolific","Human8_EP",4.66666666666667,"Human"
8,"Disclosed","Prolific","Human9_EP",4.66666666666667,"Human"
8,"Disclosed","Prolific","Human10_EP",3.66666666666667,"Human"
8,"Disclosed","Prolific","Human11_EP",5,"Human"
8,"Disclosed","Prolific","Human12_EP",4.33333333333333,"Human"
8,"Disclosed","Prolific","Human13_EP",5,"Human"
8,"Disclosed","Prolific","Human14_EP",5,"Human"
8,"Disclosed","Prolific","Human15_EP",3.66666666666667,"Human"
9,"Disclosed","Prolific","AI1_EP",4.66666666666667,"AI"
9,"Disclosed","Prolific","AI2_EP",4.33333333333333,"AI"
9,"Disclosed","Prolific","AI3_EP",2.33333333333333,"AI"
9,"Disclosed","Prolific","AI4_EP",5,"AI"
9,"Disclosed","Prolific","AI5_EP",4.66666666666667,"AI"
9,"Disclosed","Prolific","AI6_EP",5,"AI"
9,"Disclosed","Prolific","AI7_EP",5,"AI"
9,"Disclosed","Prolific","AI8_EP",5,"AI"
9,"Disclosed","Prolific","AI9_EP",5,"AI"
9,"Disclosed","Prolific","AI10_EP",4.66666666666667,"AI"
