"Participant","Experimental_Group","recruitment_platform","Messages","Effects_Perception","AI_or_Hum"
9,"Disclosed","Prolific","AI11_EP",4.33333333333333,"AI"
9,"Disclosed","Prolific","AI12_EP",2.33333333333333,"AI"
9,"Disclosed","Prolific","AI13_EP",4.66666666666667,"AI"
9,"Disclosed","Prolific","AI14_EP",4,"AI"
9,"Disclosed","Prolific","AI15_EP",4.33333333333333,"AI"
9,"Disclosed","Prolific","Human1_EP",4.66666666666667,"Human"
9,"Disclosed","Prolific","Human2_EP",4.33333333333333,"Human"
9,"Disclosed","Prolific","Human3_EP",4,"Human"
9,"Disclosed","Prolific","Human4_EP",5,"Human"
9,"Disclosed","Prolific","Human5_EP",5,"Human"
9,"Disclosed","Prolific","Human6_EP",4.66666666666667,"Human"
9,"Disclosed","Prolific","Human7_EP",5,"Human"
9,"Disclosed","Prolific","Human8_EP",5,"Human"
9,"Disclosed","Prolific","Human9_EP",5,"Human"
9,"Disclosed","Prolific","Human10_EP",5,"Human"
9,"Disclosed","Prolific","Human11_EP",5,"Human"
9,"Disclosed","Prolific","Human12_EP",5,"Human"
9,"Disclosed","Prolific","Human13_EP",3.33333333333333,"Human"
9,"Disclosed","Prolific","Human14_EP",5,"Human"
9,"Disclosed","Prolific","Human15_EP",5,"Human"
10,"Disclosed","Prolific","AI1_EP",3.66666666666667,"AI"
10,"Disclosed","Prolific","AI2_EP",4,"AI"
10,"Disclosed","Prolific","AI3_EP",3.33333333333333,"AI"
10,"Disclosed","Prolific","AI4_EP",4.33333333333333,"AI"
10,"Disclosed","Prolific","AI5_EP",4.33333333333333,"AI"
10,"Disclosed","Prolific","AI6_EP",4.33333333333333,"AI"
10,"Disclosed","Prolific","AI7_EP",4.33333333333333,"AI"
10,"Disclosed","Prolific","AI8_EP",3.33333333333333,"AI"
10,"Disclosed","Prolific","AI9_EP",4.66666666666667,"AI"
10,"Disclosed","Prolific","AI10_EP",5,"AI"
10,"Disclosed","Prolific","AI11_EP",4.33333333333333,"AI"
10,"Disclosed","Prolific","AI12_EP",3.66666666666667,"AI"
10,"Disclosed","Prolific","AI13_EP",3.66666666666667,"AI"
10,"Disclosed","Prolific","AI14_EP",3.66666666666667,"AI"
10,"Disclosed","Prolific","AI15_EP",3.66666666666667,"AI"
10,"Disclosed","Prolific","Human1_EP",2.66666666666667,"Human"
10,"Disclosed","Prolific","Human2_EP",4,"Human"
10,"Disclosed","Prolific","Human3_EP",3.33333333333333,"Human"
10,"Disclosed","Prolific","Human4_EP",4.33333333333333,"Human"
10,"Disclosed","Prolific","Human5_EP",3.66666666666667,"Human"
10,"Disclosed","Prolific","Human6_EP",3.66666666666667,"Human"
10,"Disclosed","Prolific","Human7_EP",2.66666666666667,"Human"
10,"Disclosed","Prolific","Human8_EP",3,"Human"
10,"Disclosed","Prolific","Human9_EP",4,"Human"
10,"Disclosed","Prolific","Human10_EP",3.66666666666667,"Human"
10,"Disclosed","Prolific","Human11_EP",4,"Human"
10,"Disclosed","Prolific","Human12_EP",3.66666666666667,"Human"
10,"Disclosed","Prolific","Human13_EP",4.33333333333333,"Human"
10,"Disclosed","Prolific","Human14_EP",3.33333333333333,"Human"
10,"Disclosed","Prolific","Human15_EP",4.66666666666667,"Human"
11,"Disclosed","Prolific","AI1_EP",4.33333333333333,"AI"
11,"Disclosed","Prolific","AI2_EP",4,"AI"
11,"Disclosed","Prolific","AI3_EP",3.33333333333333,"AI"
11,"Disclosed","Prolific","AI4_EP",3.33333333333333,"AI"
11,"Disclosed","Prolific","AI5_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific","AI6_EP",4.33333333333333,"AI"
11,"Disclosed","Prolific","AI7_EP",3.33333333333333,"AI"
11,"Disclosed","Prolific","AI8_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific","AI9_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific","AI10_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific","AI11_EP",4,"AI"
11,"Disclosed","Prolific","AI12_EP",3,"AI"
11,"Disclosed","Prolific","AI13_EP",3.33333333333333,"AI"
11,"Disclosed","Prolific","AI14_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific","AI15_EP",4,"AI"
11,"Disclosed","Prolific","Human1_EP",4,"Human"
11,"Disclosed","Prolific","Human2_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human3_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human4_EP",3.66666666666667,"Human"
11,"Disclosed","Prolific","Human5_EP",4.33333333333333,"Human"
11,"Disclosed","Prolific","Human6_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human7_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human8_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human9_EP",3,"Human"
11,"Disclosed","Prolific","Human10_EP",4,"Human"
11,"Disclosed","Prolific","Human11_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human12_EP",4,"Human"
11,"Disclosed","Prolific","Human13_EP",3.66666666666667,"Human"
11,"Disclosed","Prolific","Human14_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific","Human15_EP",4.33333333333333,"Human"
12,"Not Disclosed","Prolific","AI1_EP",3.66666666666667,"AI"
12,"Not Disclosed","Prolific","AI2_EP",5,"AI"
12,"Not Disclosed","Prolific","AI3_EP",5,"AI"
12,"Not Disclosed","Prolific","AI4_EP",4.66666666666667,"AI"
12,"Not Disclosed","Prolific","AI5_EP",5,"AI"
12,"Not Disclosed","Prolific","AI6_EP",4.66666666666667,"AI"
12,"Not Disclosed","Prolific","AI7_EP",4.66666666666667,"AI"
12,"Not Disclosed","Prolific","AI8_EP",5,"AI"
12,"Not Disclosed","Prolific","AI9_EP",5,"AI"
12,"Not Disclosed","Prolific","AI10_EP",5,"AI"
12,"Not Disclosed","Prolific","AI11_EP",4.66666666666667,"AI"
12,"Not Disclosed","Prolific","AI12_EP",3,"AI"
12,"Not Disclosed","Prolific","AI13_EP",4.33333333333333,"AI"
12,"Not Disclosed","Prolific","AI14_EP",4.33333333333333,"AI"
12,"Not Disclosed","Prolific","AI15_EP",5,"AI"
12,"Not Disclosed","Prolific","Human1_EP",4.66666666666667,"Human"
12,"Not Disclosed","Prolific","Human2_EP",4.66666666666667,"Human"
12,"Not Disclosed","Prolific","Human3_EP",3.66666666666667,"Human"
12,"Not Disclosed","Prolific","Human4_EP",5,"Human"
12,"Not Disclosed","Prolific","Human5_EP",5,"Human"
12,"Not Disclosed","Prolific","Human6_EP",4.33333333333333,"Human"
12,"Not Disclosed","Prolific","Human7_EP",5,"Human"
12,"Not Disclosed","Prolific","Human8_EP",4,"Human"
12,"Not Disclosed","Prolific","Human9_EP",4,"Human"
12,"Not Disclosed","Prolific","Human10_EP",5,"Human"
12,"Not Disclosed","Prolific","Human11_EP",5,"Human"
12,"Not Disclosed","Prolific","Human12_EP",5,"Human"
12,"Not Disclosed","Prolific","Human13_EP",4.33333333333333,"Human"
12,"Not Disclosed","Prolific","Human14_EP",5,"Human"
12,"Not Disclosed","Prolific","Human15_EP",4.33333333333333,"Human"
13,"Disclosed","Prolific","AI1_EP",5,"AI"
13,"Disclosed","Prolific","AI2_EP",4.66666666666667,"AI"
13,"Disclosed","Prolific","AI3_EP",5,"AI"
13,"Disclosed","Prolific","AI4_EP",5,"AI"
13,"Disclosed","Prolific","AI5_EP",5,"AI"
13,"Disclosed","Prolific","AI6_EP",5,"AI"
13,"Disclosed","Prolific","AI7_EP",5,"AI"
13,"Disclosed","Prolific","AI8_EP",5,"AI"
13,"Disclosed","Prolific","AI9_EP",5,"AI"
13,"Disclosed","Prolific","AI10_EP",5,"AI"
13,"Disclosed","Prolific","AI11_EP",5,"AI"
13,"Disclosed","Prolific","AI12_EP",3.66666666666667,"AI"
13,"Disclosed","Prolific","AI13_EP",5,"AI"
13,"Disclosed","Prolific","AI14_EP",4,"AI"
13,"Disclosed","Prolific","AI15_EP",5,"AI"
13,"Disclosed","Prolific","Human1_EP",3.66666666666667,"Human"
13,"Disclosed","Prolific","Human2_EP",5,"Human"
13,"Disclosed","Prolific","Human3_EP",5,"Human"
13,"Disclosed","Prolific","Human4_EP",5,"Human"
13,"Disclosed","Prolific","Human5_EP",5,"Human"
13,"Disclosed","Prolific","Human6_EP",5,"Human"
13,"Disclosed","Prolific","Human7_EP",3.33333333333333,"Human"
13,"Disclosed","Prolific","Human8_EP",5,"Human"
13,"Disclosed","Prolific","Human9_EP",5,"Human"
13,"Disclosed","Prolific","Human10_EP",5,"Human"
13,"Disclosed","Prolific","Human11_EP",5,"Human"
13,"Disclosed","Prolific","Human12_EP",5,"Human"
13,"Disclosed","Prolific","Human13_EP",5,"Human"
13,"Disclosed","Prolific","Human14_EP",5,"Human"
13,"Disclosed","Prolific","Human15_EP",5,"Human"
14,"Not Disclosed","Prolific","AI1_EP",5,"AI"
14,"Not Disclosed","Prolific","AI2_EP",4,"AI"
14,"Not Disclosed","Prolific","AI3_EP",4,"AI"
14,"Not Disclosed","Prolific","AI4_EP",5,"AI"
14,"Not Disclosed","Prolific","AI5_EP",5,"AI"
14,"Not Disclosed","Prolific","AI6_EP",5,"AI"
14,"Not Disclosed","Prolific","AI7_EP",5,"AI"
14,"Not Disclosed","Prolific","AI8_EP",5,"AI"
14,"Not Disclosed","Prolific","AI9_EP",5,"AI"
14,"Not Disclosed","Prolific","AI10_EP",5,"AI"
14,"Not Disclosed","Prolific","AI11_EP",5,"AI"
14,"Not Disclosed","Prolific","AI12_EP",4,"AI"
14,"Not Disclosed","Prolific","AI13_EP",4.66666666666667,"AI"
14,"Not Disclosed","Prolific","AI14_EP",5,"AI"
14,"Not Disclosed","Prolific","AI15_EP",4.66666666666667,"AI"
14,"Not Disclosed","Prolific","Human1_EP",4.33333333333333,"Human"
14,"Not Disclosed","Prolific","Human2_EP",5,"Human"
14,"Not Disclosed","Prolific","Human3_EP",4,"Human"
14,"Not Disclosed","Prolific","Human4_EP",5,"Human"
14,"Not Disclosed","Prolific","Human5_EP",5,"Human"
14,"Not Disclosed","Prolific","Human6_EP",5,"Human"
14,"Not Disclosed","Prolific","Human7_EP",5,"Human"
14,"Not Disclosed","Prolific","Human8_EP",5,"Human"
14,"Not Disclosed","Prolific","Human9_EP",4,"Human"
14,"Not Disclosed","Prolific","Human10_EP",4.66666666666667,"Human"
14,"Not Disclosed","Prolific","Human11_EP",4,"Human"
14,"Not Disclosed","Prolific","Human12_EP",5,"Human"
14,"Not Disclosed","Prolific","Human13_EP",4,"Human"
14,"Not Disclosed","Prolific","Human14_EP",5,"Human"
14,"Not Disclosed","Prolific","Human15_EP",4,"Human"
15,"Not Disclosed","Prolific","AI1_EP",5,"AI"
15,"Not Disclosed","Prolific","AI2_EP",5,"AI"
15,"Not Disclosed","Prolific","AI3_EP",5,"AI"
15,"Not Disclosed","Prolific","AI4_EP",5,"AI"
15,"Not Disclosed","Prolific","AI5_EP",5,"AI"
15,"Not Disclosed","Prolific","AI6_EP",5,"AI"
15,"Not Disclosed","Prolific","AI7_EP",5,"AI"
15,"Not Disclosed","Prolific","AI8_EP",5,"AI"
15,"Not Disclosed","Prolific","AI9_EP",5,"AI"
15,"Not Disclosed","Prolific","AI10_EP",5,"AI"
15,"Not Disclosed","Prolific","AI11_EP",5,"AI"
15,"Not Disclosed","Prolific","AI12_EP",5,"AI"
15,"Not Disclosed","Prolific","AI13_EP",5,"AI"
15,"Not Disclosed","Prolific","AI14_EP",5,"AI"
15,"Not Disclosed","Prolific","AI15_EP",5,"AI"
15,"Not Disclosed","Prolific","Human1_EP",5,"Human"
15,"Not Disclosed","Prolific","Human2_EP",5,"Human"
15,"Not Disclosed","Prolific","Human3_EP",5,"Human"
15,"Not Disclosed","Prolific","Human4_EP",5,"Human"
