"Participant","Experimental_Group","recruitment_platform","AIper_neg","Messages","Effects_Perception","AI_or_Hum"
9,"Not Disclosed","Prolific",1.5,"Human5_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human6_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human7_EP",4.33333333333333,"Human"
9,"Not Disclosed","Prolific",1.5,"Human8_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human9_EP",4,"Human"
9,"Not Disclosed","Prolific",1.5,"Human10_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human11_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human12_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human13_EP",4.33333333333333,"Human"
9,"Not Disclosed","Prolific",1.5,"Human14_EP",5,"Human"
9,"Not Disclosed","Prolific",1.5,"Human15_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"AI1_EP",4.66666666666667,"AI"
10,"Not Disclosed","Prolific",3.25,"AI2_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI3_EP",5,"AI"
10,"Not Disclosed","Prolific",3.25,"AI4_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI5_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI6_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI7_EP",4.66666666666667,"AI"
10,"Not Disclosed","Prolific",3.25,"AI8_EP",4.66666666666667,"AI"
10,"Not Disclosed","Prolific",3.25,"AI9_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI10_EP",4.66666666666667,"AI"
10,"Not Disclosed","Prolific",3.25,"AI11_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI12_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI13_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI14_EP",4.33333333333333,"AI"
10,"Not Disclosed","Prolific",3.25,"AI15_EP",5,"AI"
10,"Not Disclosed","Prolific",3.25,"Human1_EP",4,"Human"
10,"Not Disclosed","Prolific",3.25,"Human2_EP",4.33333333333333,"Human"
10,"Not Disclosed","Prolific",3.25,"Human3_EP",4,"Human"
10,"Not Disclosed","Prolific",3.25,"Human4_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"Human5_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"Human6_EP",4,"Human"
10,"Not Disclosed","Prolific",3.25,"Human7_EP",4,"Human"
10,"Not Disclosed","Prolific",3.25,"Human8_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"Human9_EP",5,"Human"
10,"Not Disclosed","Prolific",3.25,"Human10_EP",5,"Human"
10,"Not Disclosed","Prolific",3.25,"Human11_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"Human12_EP",4.66666666666667,"Human"
10,"Not Disclosed","Prolific",3.25,"Human13_EP",5,"Human"
10,"Not Disclosed","Prolific",3.25,"Human14_EP",4,"Human"
10,"Not Disclosed","Prolific",3.25,"Human15_EP",4.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"AI1_EP",4.33333333333333,"AI"
11,"Disclosed","Prolific",4.25,"AI2_EP",4.33333333333333,"AI"
11,"Disclosed","Prolific",4.25,"AI3_EP",4.33333333333333,"AI"
11,"Disclosed","Prolific",4.25,"AI4_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI5_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI6_EP",5,"AI"
11,"Disclosed","Prolific",4.25,"AI7_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI8_EP",4,"AI"
11,"Disclosed","Prolific",4.25,"AI9_EP",5,"AI"
11,"Disclosed","Prolific",4.25,"AI10_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI11_EP",5,"AI"
11,"Disclosed","Prolific",4.25,"AI12_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI13_EP",4,"AI"
11,"Disclosed","Prolific",4.25,"AI14_EP",3.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"AI15_EP",4.66666666666667,"AI"
11,"Disclosed","Prolific",4.25,"Human1_EP",2.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"Human2_EP",4.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"Human3_EP",2,"Human"
11,"Disclosed","Prolific",4.25,"Human4_EP",4.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human5_EP",3.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human6_EP",4.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human7_EP",2.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"Human8_EP",2.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human9_EP",3.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human10_EP",4.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"Human11_EP",3,"Human"
11,"Disclosed","Prolific",4.25,"Human12_EP",4.66666666666667,"Human"
11,"Disclosed","Prolific",4.25,"Human13_EP",3,"Human"
11,"Disclosed","Prolific",4.25,"Human14_EP",3.33333333333333,"Human"
11,"Disclosed","Prolific",4.25,"Human15_EP",2,"Human"
12,"Disclosed","Prolific",3.25,"AI1_EP",3,"AI"
12,"Disclosed","Prolific",3.25,"AI2_EP",4.66666666666667,"AI"
12,"Disclosed","Prolific",3.25,"AI3_EP",3.33333333333333,"AI"
12,"Disclosed","Prolific",3.25,"AI4_EP",3,"AI"
12,"Disclosed","Prolific",3.25,"AI5_EP",4.33333333333333,"AI"
12,"Disclosed","Prolific",3.25,"AI6_EP",5,"AI"
