Participant,Experimental_Group,Age,Sex,Message Rank,Message1,Message2,Message3,Message4,Message5,Dis_AI1,Dis_AI2,Dis_AI3,Dis_AI4,Dis_AI5,Dis_AI6,Dis_AI7,Dis_AI8,Dis_AI9,Dis_AI10,Dis_AI11,Dis_AI12,Dis_AI13,Dis_AI14,Dis_AI15,Dis_Hum1,Dis_Hum2,Dis_Hum3,Dis_Hum4,Dis_Hum5,Dis_Hum6,Dis_Hum7,Dis_Hum8,Dis_Hum9,Dis_Hum10,Dis_Hum11,Dis_Hum12,Dis_Hum13,Dis_Hum14,Dis_Hum15,Con_AI1,Con_AI2,Con_AI3,Con_AI4,Con_AI5,Con_AI6,Con_AI7,Con_AI8,Con_AI9,Con_AI10,Con_AI11,Con_AI12,Con_AI13,Con_AI14,Con_AI15,Con_Hum1,Con_Hum2,Con_Hum3,Con_Hum4,Con_Hum5,Con_Hum6,Con_Hum7,Con_Hum8,Con_Hum9,Con_Hum10,Con_Hum11,Con_Hum12,Con_Hum13,Con_Hum14,Con_Hum15,Unp_AI1,Unp_AI2,Unp_AI3,Unp_AI4,Unp_AI5,Unp_AI6,Unp_AI7,Unp_AI8,Unp_AI9,Unp_AI10,Unp_AI11,Unp_AI12,Unp_AI13,Unp_AI14,Unp_AI15,Unp_Hum1,Unp_Hum2,Unp_Hum3,Unp_Hum4,Unp_Hum5,Unp_Hum6,Unp_Hum7,Unp_Hum8,Unp_Hum9,Unp_Hum10,Unp_Hum11,Unp_Hum12,Unp_Hum13,Unp_Hum14,Unp_Hum15,Per_AI1_1,Per_AI2_1,Per_AI3_1,Per_AI4_1,Per_AI5_1,Per_AI6_1,Per_AI7_1,Per_AI8_1,Per_AI9_1,Per_AI10_1,Per_AI11_1,Per_AI12_1,Per_AI13_1,Per_AI14_1,Per_AI15_1,Per_AI16_1,Per_AI17_1,Per_AI18_1,Per_AI19_1,Per_AI20_1,recruitment_platform
21,Not Disclosed,32.0,Female,"7,9,13,18,23",7.0,9.0,13.0,18.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,Prolific
22,Not Disclosed,69.0,Female,"13,15,16,29,23",13.0,15.0,16.0,29.0,23.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,Prolific
23,Disclosed,62.0,Male,"4,17,19,28,36",4.0,17.0,19.0,28.0,36.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,Prolific
24,Not Disclosed,23.0,Male,"1,4,7,11,18",1.0,4.0,7.0,11.0,18.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,Prolific
25,Not Disclosed,54.0,Female,"1,11,15,35,29",1.0,11.0,15.0,35.0,29.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,Prolific
26,Not Disclosed,30.0,Female,"13,29,30,31,23",13.0,29.0,30.0,31.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,Prolific
27,Disclosed,33.0,Female,"12,15,19,22,25",12.0,15.0,19.0,22.0,25.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Prolific
28,Disclosed,33.0,Male,"9,13,15,19,24",9.0,13.0,15.0,19.0,24.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,Prolific
29,Not Disclosed,41.0,Male,"12,14,16,19,20",12.0,14.0,16.0,19.0,20.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,2.0,Prolific
30,Not Disclosed,25.0,Female,"4,7,11,13,19",4.0,7.0,11.0,13.0,19.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,1.0,5.0,Prolific
31,Not Disclosed,58.0,Male,"6,13,15,21,30",6.0,13.0,15.0,21.0,30.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,Prolific
32,Not Disclosed,,Male,"20,35,27,28,32",20.0,35.0,27.0,28.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,Prolific
33,Not Disclosed,51.0,Male,"7,11,13,16,19",7.0,11.0,13.0,16.0,19.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,Prolific
34,Not Disclosed,43.0,Male,"5,16,19,24,28",5.0,16.0,19.0,24.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,Prolific
35,Not Disclosed,30.0,Male,"6,9,13,31,23",6.0,9.0,13.0,31.0,23.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,Prolific
36,Disclosed,59.0,Male,"6,13,18,30,31",6.0,13.0,18.0,30.0,31.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,Prolific
37,Not Disclosed,31.0,Female,"7,9,11,13,24",7.0,9.0,11.0,13.0,24.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,Prolific
38,Disclosed,35.0,Female,"19,20,26,27,31",19.0,20.0,26.0,27.0,31.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,Prolific
39,Not Disclosed,64.0,Male,"7,9,15,18,30",7.0,9.0,15.0,18.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,Prolific
40,Disclosed,57.0,Male,"7,35,25,29,31",7.0,35.0,25.0,29.0,31.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,Prolific
41,Disclosed,57.0,Female,"6,13,19,35,25",6.0,13.0,19.0,35.0,25.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,Prolific
42,Not Disclosed,49.0,Female,"9,11,19,30,31",9.0,11.0,19.0,30.0,31.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,3.0,Prolific
43,Disclosed,25.0,Female,"4,9,18,21,31",4.0,9.0,18.0,21.0,31.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,Prolific
44,Disclosed,40.0,Male,"9,13,24,29,23",9.0,13.0,24.0,29.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,Prolific
45,Not Disclosed,55.0,Female,"9,13,22,35,24",9.0,13.0,22.0,35.0,24.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,Prolific
46,Not Disclosed,69.0,Female,"4,11,25,29,23",4.0,11.0,25.0,29.0,23.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,Prolific
