Participant,Experimental_Group,Age,Sex,Message Rank,Message1,Message2,Message3,Message4,Message5,Dis_AI1,Dis_AI2,Dis_AI3,Dis_AI4,Dis_AI5,Dis_AI6,Dis_AI7,Dis_AI8,Dis_AI9,Dis_AI10,Dis_AI11,Dis_AI12,Dis_AI13,Dis_AI14,Dis_AI15,Dis_Hum1,Dis_Hum2,Dis_Hum3,Dis_Hum4,Dis_Hum5,Dis_Hum6,Dis_Hum7,Dis_Hum8,Dis_Hum9,Dis_Hum10,Dis_Hum11,Dis_Hum12,Dis_Hum13,Dis_Hum14,Dis_Hum15,Con_AI1,Con_AI2,Con_AI3,Con_AI4,Con_AI5,Con_AI6,Con_AI7,Con_AI8,Con_AI9,Con_AI10,Con_AI11,Con_AI12,Con_AI13,Con_AI14,Con_AI15,Con_Hum1,Con_Hum2,Con_Hum3,Con_Hum4,Con_Hum5,Con_Hum6,Con_Hum7,Con_Hum8,Con_Hum9,Con_Hum10,Con_Hum11,Con_Hum12,Con_Hum13,Con_Hum14,Con_Hum15,Unp_AI1,Unp_AI2,Unp_AI3,Unp_AI4,Unp_AI5,Unp_AI6,Unp_AI7,Unp_AI8,Unp_AI9,Unp_AI10,Unp_AI11,Unp_AI12,Unp_AI13,Unp_AI14,Unp_AI15,Unp_Hum1,Unp_Hum2,Unp_Hum3,Unp_Hum4,Unp_Hum5,Unp_Hum6,Unp_Hum7,Unp_Hum8,Unp_Hum9,Unp_Hum10,Unp_Hum11,Unp_Hum12,Unp_Hum13,Unp_Hum14,Unp_Hum15,Per_AI1_1,Per_AI2_1,Per_AI3_1,Per_AI4_1,Per_AI5_1,Per_AI6_1,Per_AI7_1,Per_AI8_1,Per_AI9_1,Per_AI10_1,Per_AI11_1,Per_AI12_1,Per_AI13_1,Per_AI14_1,Per_AI15_1,Per_AI16_1,Per_AI17_1,Per_AI18_1,Per_AI19_1,Per_AI20_1,recruitment_platform
11,Disclosed,63.0,Female,"4,6,7,9,11",4.0,6.0,7.0,9.0,11.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,Prolific
12,Disclosed,42.0,Male,"5,11,14,29,23",5.0,11.0,14.0,29.0,23.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,Prolific
13,Not Disclosed,25.0,Female,"5,6,11,13,25",5.0,6.0,11.0,13.0,25.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,Prolific
14,Disclosed,27.0,Female,"9,15,18,24,25",9.0,15.0,18.0,24.0,25.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,Prolific
15,Disclosed,39.0,Male,"35,24,25,28,29",35.0,24.0,25.0,28.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,Prolific
16,Not Disclosed,57.0,Female,"6,9,11,19,26",6.0,9.0,11.0,19.0,26.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,5.0,1.0,3.0,Prolific
17,Disclosed,47.0,Female,"9,11,15,24,31",9.0,11.0,15.0,24.0,31.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,Prolific
18,Disclosed,,Male,"15,16,17,19,25",15.0,16.0,17.0,19.0,25.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,2.0,4.0,Prolific
19,Not Disclosed,71.0,Female,"18,35,29,30,23",18.0,35.0,29.0,30.0,23.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,Prolific
20,Not Disclosed,60.0,Female,"1,11,13,35,23",1.0,11.0,13.0,35.0,23.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,Prolific
